career,Title,Skills,Keywords,Responsibilities
.net Developer,.net Developer,.NET Core; .NET Core basics; .NET Core fundamentals; .NET Framework; .NET Framework basics; ASP.NET; ASP.NET Core; ASP.NET MVC; ASP.NET basics; Angular; Azure; Azure DevOps; Blazor; C#; CI/CD; CSS; Dapper; Design Patterns; Docker; Entity Framework; Entity Framework basics; F#; Git; HTML; JavaScript basics; Kubernetes; LINQ; MVC; Microservices; Moq; NUnit basics; NoSQL; REST APIs; Razor; SOLID Principles; SQL Server; SignalR; Testing with NUnit; Testing with xUnit; Unit Testing basics; VB.NET; VB.NET basics; Visual Studio; WebAPI; gRPC,.NET .NET Core ASP.NET ASP.NET MVC Angular Azure Azure DevOps Blazor C# CI/CD Dapper Docker Entity Framework Git Kubernetes LINQ Microservices Moq NUnit REST APIs Razor SOLID SQL Server SignalR Unit Testing Visual Studio WebAPI gRPC xUnit,Assist in coding and debugging applications; Learn and apply .NET Framework and Core fundamentals; Support team in building ASP.NET MVC web applications; Write basic SQL queries and work with Entity Framework; Collaborate with peers to solve issues; Participate in code reviews for learning; Follow best practices in coding; Work with version control (Git) Write simple C# programs under guidance; Support development of ASP.NET MVC applications; Implement Razor views and front-end logic; Assist in database query writing; Participate in unit testing tasks; Learn and apply LINQ for data operations; Work with mentors for code corrections Contribute to development of small modules; Assist in bug fixing and debugging; Learn and implement MVC patterns; Support database integration tasks; Understand version control basics; Work on minor testing scripts; Follow coding standards Support in software design documentation; Assist senior developers in testing; Create small UI components; Debug and test applications; Implement basic LINQ queries; Participate in code maintenance Learn to design and build ASP.NET applications; Assist in connecting apps to SQL Server; Work on UI development; Participate in daily standups; Write small unit test cases Assist in Razor page development; Learn version control processes; Perform debugging under supervision; Support data access layer coding; Contribute to testing efforts Support team in MVC project development; Help in resolving minor bugs; Write basic SQL queries; Collaborate with developers for tasks; Participate in project discussions Assist in building backend modules; Learn and apply Entity Framework; Help in writing LINQ queries; Support bug fixing; Write basic documentation Write simple ASP.NET pages; Collaborate with design team; Assist in database operations; Perform code reviews with seniors; Learn about MVC patterns Support new feature development; Assist with application configuration; Help in database schema setup; Perform small unit testing tasks; Follow agile methodology basics Design and develop advanced .NET applications; Implement microservices with ASP.NET Core; Manage SQL Server database performance; Develop REST APIs; Deploy applications using Docker; Integrate with Azure cloud services Architect scalable .NET Core solutions; Implement design patterns in projects; Lead database optimization efforts; Manage CI/CD pipelines with Azure DevOps; Collaborate with cross-functional teams Develop microservices architecture; Work with Docker and Kubernetes for deployment; Integrate with Azure services; Lead junior developers; Optimize application performance Develop RESTful APIs and real-time apps; Implement SignalR for live communication; Work with SQL Server and NoSQL databases; Lead module development; Ensure application scalability Develop front-end with Blazor/Angular; Implement repository pattern with Dapper; Optimize SQL Server queries; Enhance UI/UX for applications; Mentor junior team members Develop and maintain microservices; Create CI/CD pipelines; Ensure testing coverage with NUnit; Deploy apps with Docker; Collaborate with QA team Build RESTful and gRPC APIs; Integrate services with Azure; Design database schemas; Monitor system performance; Provide technical leadership Design and manage microservices architecture; Deploy apps on Kubernetes clusters; Ensure best practices with SOLID principles; Lead development sprints; Coordinate with product teams Implement automated unit tests; Use Moq for dependency testing; Develop scalable apps in .NET Core; Lead code review sessions; Optimize app performance Lead CI/CD setup in Azure DevOps; Deploy services with Docker/Kubernetes; Architect scalable .NET applications; Coordinate with cross-functional teams; Mentor juniors
Ai Engineer,Ai Engineer,AWS; Apache Spark; Azure; C++; CI/CD; Classification; Clustering; Computer Vision; Deep Learning; Docker; GCP; Generative AI; Hadoop; Hugging Face; Hugging Face Transformers; Java; Keras; Kubernetes; LIME; LLMs; MLOps; Model Monitoring; MongoDB; NLP; NLTK; Neural Networks; NoSQL; NumPy; ONNX; OpenCV; Pandas; PyTorch; Python; R; Regression; Reinforcement Learning; SHAP; SQL; Scikit-learn; Spark; Supervised/Unsupervised Learning; TensorFlow,AI Cloud Deep Learning Entry-Level Fresher ML MLOps Mid-Senior Level NLP PyTorch Python Senior-Level TensorFlow,"Assist in developing AI models; Preprocess data; Implement basic ML algorithms; Participate in hackathons and academic projects Build simple AI models; Preprocess datasets; Implement basic ML pipelines; Work collaboratively on projects Support AI development; Create and test ML models; Perform data preprocessing and feature engineering; Collaborate with mentors Implement basic AI/ML models; Assist with data preprocessing and visualization; Participate in small projects or hackathons Assist in AI model development; Data cleaning; Implement basic neural networks; Collaborate on academic or hackathon projects Build and train basic AI models; Preprocess datasets; Implement feature engineering techniques; Collaborate in small teams Assist in developing AI pipelines; Train basic ML/DL models; Preprocess data; Participate in hackathons or academic projects Implement and test ML/AI models; Clean and preprocess data; Contribute to academic, hobby, or hackathon projects Support development of AI projects; Preprocess datasets; Build basic ML/DL models; Participate in collaborative projects and hackathons Architect and deploy scalable AI models; Optimize deep learning and NLP pipelines; Integrate AI solutions with cloud platforms; Lead AI projects Design, implement, and deploy advanced AI solutions; Lead teams; Ensure cloud integration; Manage MLOps pipelines Lead AI engineering projects; Deploy scalable deep learning models; Manage cloud-based AI platforms; Mentor junior AI engineers Architect AI/ML pipelines; Integrate models with cloud platforms; Optimize NLP and computer vision solutions; Lead cross-functional AI teams Design and deploy production-grade AI solutions; Manage AI cloud platforms; Lead AI engineering teams; Implement MLOps practices; Ensure model explainability Lead AI/ML projects; Implement scalable deep learning and NLP pipelines; Deploy models in cloud environments; Mentor junior engineers Architect AI pipelines; Optimize deep learning and NLP solutions; Manage cloud AI infrastructure; Lead cross-functional AI teams Lead AI/ML initiatives; Deploy advanced deep learning models; Optimize pipelines; Mentor and guide AI teams Manage large-scale AI projects; Implement predictive analytics solutions; Optimize ML/AI pipelines; Provide strategic business insights Lead AI/ML projects; Deploy and scale deep learning and NLP models; Optimize cloud pipelines; Mentor junior AI engineers and lead teams"
Ai Prompt Engineer,Ai Prompt Engineer,API integration (OpenAI/Azure); Advanced NLP; Advanced Python; Advanced prompt design (chain-of-thought; Azure Cognitive Services; Chain-of-thought prompting; Chain-of-thought prompts; Collaboration; Communication; Creativity; Critical thinking; Data analysis; Data analytics; Data visualization; Deep NLP expertise; GPT model exposure; GPT models intro; Hugging Face; Hugging Face Transformers; Hugging Face Transformers basics; Hugging Face basics; Intro NLP; Intro to NLP; Introductory NLP; Iterative prompt design; Iterative prompt optimization; JavaScript; JavaScript advanced; JavaScript basics; LLM tuning; Leadership; Machine learning analysis; Machine learning for prompt tuning; NLP basics; NLP frameworks; NLP introduction; NLP techniques; NLTK basics; OpenAI API; OpenAI GPT basics; OpenAI GPT intro; OpenAI GPT model basics; OpenAI GPT models exposure; OpenAI GPT models intro; Problem-solving; Prompt chain-of-thought; Prompt design optimization; Prompt iterative optimization; Prompt optimization techniques; Prompt writing; Prompt writing fundamentals; PyTorch; PyTorch basics; Python; Python advanced; Python basics; SpaCy basics; Teamwork; TensorFlow; TensorFlow basics; iterative optimization),AI Ethics AI Frameworks AI Model Optimization API Integration Data Analysis GPT Hugging Face LLM Machine Learning Model Fine-tuning NLP Prompt Engineering Prompt Optimization PyTorch Python TensorFlow,"Assist in designing prompts for AI models; Test and evaluate prompt effectiveness; Collaborate with AI/data science teams; Document prompt experiments; Support AI model integration tasks Write and test basic prompts for AI models; Assist in NLP-related tasks; Collaborate with data science teams; Document prompt testing results; Support AI platform integration; Learn AI model evaluation techniques Assist in prompt design for AI models; Evaluate prompt outcomes; Support AI/data science team tasks; Document experiments; Learn NLP libraries; Assist in integration of prompts into AI applications Write and test AI prompts; Support NLP tasks; Collaborate with AI/data science teams; Document prompt testing results; Assist with AI model integration; Learn and apply AI frameworks Assist in prompt development for AI models; Test prompt performance; Collaborate with AI/data science teams; Document experiments; Support AI integration projects; Learn prompt optimization techniques Write and refine prompts for AI models; Support NLP and data analysis tasks; Collaborate with AI/data teams; Document prompt results and learnings; Assist in AI model evaluation and integration Assist in prompt creation for AI models; Test prompt performance; Collaborate with AI/data teams; Document experiments; Support AI model integration and evaluation Write and test AI prompts; Assist NLP-related tasks; Collaborate with AI/data teams; Document prompt results; Support AI model evaluation and integration Assist in prompt design and testing; Collaborate with AI/data science teams; Document prompt experiments; Learn prompt optimization techniques; Support AI integration projects Assist in AI prompt creation and testing; Support NLP tasks; Collaborate with AI/data science teams; Document prompt outcomes; Help integrate prompts with AI models Design and optimize prompts for LLMs; Apply advanced NLP techniques for prompt tuning; Collaborate with AI and data science teams; Implement AI model evaluation metrics; Develop prompt optimization strategies; Lead prompt-related projects; Mentor junior prompt engineers Develop and fine-tune AI prompts; Lead prompt optimization initiatives; Collaborate with AI/data science teams for deployment; Design prompt evaluation metrics; Document prompt design patterns; Mentor junior engineers on prompt engineering best practices Lead prompt engineering efforts; Optimize prompt performance for LLMs; Collaborate with cross-functional AI teams; Implement prompt testing strategies; Provide mentorship on prompt engineering; Document prompt design improvements Design advanced prompts for AI models; Perform prompt evaluation and tuning; Collaborate with AI teams for integration; Implement metrics for prompt effectiveness; Lead knowledge sharing sessions on prompt engineering Lead development of AI prompt strategies; Optimize prompts for large-scale AI models; Mentor junior prompt engineers; Collaborate with AI and data teams; Document best practices for prompt design; Perform metrics-driven analysis of prompt effectiveness Develop and optimize AI prompts; Lead prompt engineering initiatives; Collaborate with AI/data teams; Design evaluation metrics for prompt quality; Document prompt optimization strategies; Mentor junior engineers Lead prompt optimization projects; Evaluate prompt performance; Collaborate with cross-functional teams; Mentor junior engineers; Document prompt design patterns; Implement prompt evaluation metrics Design, test, and optimize AI prompts; Lead prompt engineering initiatives; Collaborate with AI teams; Document best practices; Mentor junior engineers; Analyze prompt performance metrics Develop and refine prompts for LLMs; Collaborate with AI/data teams; Lead prompt engineering projects; Mentor junior prompt engineers; Document prompt design patterns; Implement prompt evaluation metrics Lead prompt optimization projects; Design and refine prompts for AI models; Collaborate with cross-functional AI teams; Mentor junior engineers; Document prompt best practices; Implement evaluation metrics for prompt effectiveness"
Android App Developer,Android App Developer,Android Studio; Git; Java; Kotlin; MVC; REST API; REST APIs; SQLite; UI/UX Basics; XML,Android SDK Android Studio Java Kotlin Material Design REST API SQLite UI/UX Design,Implement small app features using Kotlin and Java.; Assist in connecting apps to APIs for basic data exchange.; Follow app architecture patterns (MVC) under supervision.; Debug minor issues using Android Studio tools.; Learn and apply version control using Git. Assist in coding Android app modules in Java/Kotlin.; Apply Material Design and UI/UX best practices.; Perform unit testing for small features.; Connect apps to REST APIs for demonstration projects.; Document code and workflows under supervision.
Android Architect,Android Architect,Android Studio; CI/CD; Clean Architecture; Dagger; Firebase; Java; Jetpack; Kotlin; MVVM; Performance Optimization; Room; Unit Testing,Agile Android NDK CI/CD Debugging Dependency Injection Firebase Jetpack Kotlin MVVM Material Design Performance Optimization Play Store REST API Room Unit Testing,"Design Android app architecture for scalability and performance.; Guide development teams on MVVM, modularization, and clean architecture.; Monitor performance metrics and optimize memory usage.; Oversee Play Store releases and continuous integration pipelines.; Mentor senior engineers and ensure best practices are followed."
Android Developer,Android Developer,Android Studio; CI/CD; Clean Architecture; Dagger; Firebase; Git; Java; Jetpack; Kotlin; MVC; MVVM; REST API; REST APIs; Room; SQLite; UI/UX Basics; UI/UX Design; Unit Testing; XML,Agile Android NDK Android SDK Android Studio CI/CD Debugging Dependency Injection Firebase Java Jetpack Kotlin MVVM Material Design Mobile Development Performance Optimization Play Store REST API Room SQLite UI/UX Design Unit Testing,Assist in building small Android app modules.; Write clean code in Java and Kotlin under supervision.; Follow Material Design guidelines for UI development.; Integrate simple REST APIs and store data locally.; Participate in basic unit testing and debugging. Develop Android app screens with XML layouts.; Collaborate with designers to implement UI components.; Integrate basic REST APIs and handle JSON responses.; Participate in peer code reviews.; Document small modules and features for clarity. Support the development of simple Android modules.; Implement layouts following Material Design.; Assist in connecting REST APIs for data retrieval.; Debug basic issues and document code.; Participate in team discussions and code reviews. Develop and test small Android app features.; Follow Material Design for responsive UI layouts.; Integrate basic REST APIs for data functionality.; Debug and document code with guidance.; Participate in learning sessions and code reviews. Develop and maintain production Android apps.; Implement MVVM architecture and Jetpack components.; Integrate REST APIs and Firebase services.; Optimize performance with multi-threading and memory management.; Mentor junior developers and participate in agile sprints. Lead development of scalable Android apps with clean architecture.; Implement dependency injection using Dagger/Koin.; Integrate APIs and optimize app performance.; Automate CI/CD pipelines and testing.; Guide junior developers and review code quality.
Android Development,Android Development,Android Studio; Git; Java; Kotlin; REST API; SQLite; UI/UX Basics; XML,Android Studio Java Kotlin Material Design REST API SQLite UI/UX Design,Assist in small-scale Android app development projects.; Follow Material Design and UI/UX principles.; Integrate basic REST APIs and handle data locally.; Debug minor issues using Android Studio tools.; Learn and apply Git version control.
Android Engineer,Android Engineer,Android Studio; CI/CD; Clean Architecture; Dagger; Firebase; Git; Java; Jetpack; Kotlin; MVVM; REST APIs; Room; SQLite; UI/UX Basics; Unit Testing; XML,Agile Android NDK Android Studio CI/CD Debugging Dependency Injection Firebase Java Jetpack Kotlin MVVM Material Design Performance Optimization Play Store REST API Room SQLite UI/UX Design Unit Testing,Build simple Android app screens with proper layout.; Implement basic app features using Java/Kotlin.; Follow MVC pattern under guidance.; Test functionality using unit tests.; Document code and participate in team reviews. Develop and maintain large-scale Android apps.; Implement modular MVVM architecture with Jetpack libraries.; Optimize app performance and reduce crash rates.; Integrate REST APIs and cloud services.; Mentor team members and review code quality.
Android Solutions Architect,Android Solutions Architect,Android Studio; CI/CD; Clean Architecture; Dagger; Firebase; Java; Jetpack; Kotlin; MVVM; Performance Optimization; Room; Unit Testing,Agile Android NDK CI/CD Debugging Dependency Injection Firebase Jetpack Kotlin MVVM Material Design Performance Optimization Play Store REST API Room Unit Testing,"Define architecture strategies for multiple Android projects.; Lead app performance optimization, debugging, and CI/CD integration.; Mentor teams on advanced Android development patterns.; Ensure Play Store compliance and smooth deployment.; Collaborate with stakeholders for technical solutions and metrics."
Android Solutions Engineer,Android Solutions Engineer,Android Studio; CI/CD; Clean Architecture; Firebase; Java; Jetpack; Kotlin; MVVM; REST APIs; Room; Unit Testing,Agile Android NDK CI/CD Debugging Dependency Injection Firebase Jetpack Kotlin MVVM Material Design Performance Optimization Play Store REST API Room Unit Testing,"Design and implement efficient Android apps.; Integrate REST APIs, Jetpack components, and Room database.; Ensure smooth app performance and memory optimization.; Lead CI/CD pipeline implementation and automated testing.; Collaborate with cross-functional teams for product delivery."
